Kind,Name,CountLineComment,CountLineCode,RatioCommentToCode,PercentLackOfCohesion,CountDeclMethodAll,CountDeclMethod,MaxInheritanceTree,CountLine,CountClassDerived
File,AddingProxyAgainFreesResources.java,31,51,0.61,,,3,,100,
File,AjaxElementLocator.java,71,138,0.51,,,21,,237,
File,AjaxElementLocatorFactory.java,16,15,1.07,,,2,,37,
File,AjaxElementLocatorTest.java,22,107,0.21,,,10,,163,
File,Alert.java,16,7,2.29,,,4,,28,
File,AlertOverride.java,28,178,0.16,,,8,,213,
File,AlertOverrideStub.java,16,26,0.62,,,6,,51,
File,AlertsTest.java,29,431,0.07,,,35,,564,
File,AllHandlers.java,17,105,0.16,,,3,,143,
File,AllowNativeXPath.java,16,16,1,,,1,,38,
File,AltKeyDown.java,16,14,1.14,,,2,,36,
File,AltKeyUp.java,16,14,1.14,,,2,,36,
File,AnnotatedConfig.java,26,87,0.3,,,3,,139,
File,AnnotatedConfigTest.java,18,90,0.2,,,7,,136,
File,Annotations.java,34,71,0.48,,,6,,120,
File,AnnotationsTest.java,22,177,0.12,,,20,,243,
File,AnswerOnNextPrompt.java,18,21,0.86,,,1,,42,
File,AppCacheStatus.java,25,32,0.78,,,6,,66,
File,AppCacheTest.java,16,29,0.55,,,3,,53,
File,AppServer.java,16,12,1.33,,,9,,40,
File,AppServerTestBase.java,18,114,0.16,,,15,,157,
File,ApplicationCache.java,21,4,5.25,,,1,,27,
File,Architecture.java,58,58,1,,,11,,137,
File,ArchitectureTest.java,16,118,0.14,,,25,,164,
File,ArgumentConverter.java,16,39,0.41,,,2,,66,
File,AssignId.java,16,19,0.84,,,2,,42,
File,AtomsInjectionTest.java,16,12,1.33,,,1,,33,
File,AtomsRhinoTests.java,19,10,1.9,,,0,,32,
File,AttachFile.java,17,58,0.29,,,4,,90,
File,AttributeMatcher.java,19,27,0.7,,,4,,55,
File,Augmentable.java,19,8,2.38,,,0,,30,
File,Augmenter.java,24,140,0.17,,,11,,203,
File,AugmenterProvider.java,29,5,5.8,,,2,,37,
File,AugmenterTest.java,22,100,0.22,,,9,,152,
File,AuthenticatedWebDriverServer.java,18,45,0.4,,,1,,75,
File,AutoConfigureNode.java,18,74,0.24,,,3,,110,
File,AvailableLogsTest.java,17,89,0.19,,,7,,122,
File,BaseAction.java,24,23,1.04,,,2,,55,
File,BaseAugmenter.java,77,48,1.6,,,7,,139,
File,BaseAugmenterTest.java,18,253,0.07,,,33,,343,
File,BaseFinder.java,20,63,0.32,,,9,,98,
File,BaseGridRegistry.java,27,32,0.84,,,5,,70,
File,BaseRemoteProxy.java,56,382,0.15,,,33,,512,
File,BaseRemoteProxyTest.java,28,156,0.18,,,12,,218,
File,BaseServer.java,25,190,0.13,,,8,,256,
File,BaseServerFlags.java,16,28,0.57,,,1,,55,
File,BaseServerOptions.java,17,48,0.35,,,5,,83,
File,BaseServerTest.java,18,56,0.32,,,4,,95,
File,BaseServletTest.java,17,48,0.35,,,4,,75,
File,BaseSuite.java,17,42,0.4,,,3,,69,
File,BasicAuth.java,16,32,0.5,,,2,,56,
File,BasicKeyboardInterfaceTest.java,22,220,0.1,,,21,,316,
File,BasicMouseInterfaceTest.java,44,352,0.13,,,27,,504,
File,BeginSession.java,20,85,0.24,,,2,,124,
File,Beta.java,25,15,1.67,,,0,,43,
File,BooleanCoercer.java,16,13,1.23,,,2,,34,
File,BoundZmqEventBus.java,20,88,0.23,,,7,,130,
File,Browser.java,16,35,0.46,,,3,,59,
File,BrowserConfigurationOptions.java,106,118,0.9,,,23,,252,
