Kind,Name,CountLine,CountLineCode,CountLineComment,CountDeclMethodAll,CountDeclMethod,CountClassDerived,RatioCommentToCode,PercentLackOfCohesion,MaxInheritanceTree
Public Method,edu.uci.ics.jung.algorithms.generators.Lattice2DGenerator.LatticeDistance.(Anon_1).load.(Anon_2).load,3,3,0,,,,0,,
Private Constructor,edu.uci.ics.jung.algorithms.generators.Lattice2DGenerator.LatticeDistance.LatticeDistance,7,7,0,,,,0,,
Private Method,edu.uci.ics.jung.algorithms.generators.Lattice2DGenerator.LatticeDistance.getCol,7,3,4,,,,1.33,,
Public Method,edu.uci.ics.jung.algorithms.generators.Lattice2DGenerator.LatticeDistance.getDistance,16,15,0,,,,0,,
Public Method,edu.uci.ics.jung.algorithms.generators.Lattice2DGenerator.LatticeDistance.getDistanceMap,3,3,0,,,,0,,
Private Method,edu.uci.ics.jung.algorithms.generators.Lattice2DGenerator.LatticeDistance.getRow,7,3,4,,,,1.33,,
TypeVariable,edu.uci.ics.jung.algorithms.generators.Lattice2DGenerator.N,0,0,0,0,0,0,0,0,1
Public Method,edu.uci.ics.jung.algorithms.generators.Lattice2DGenerator.distance,9,3,6,,,,2,,
Public Method,edu.uci.ics.jung.algorithms.generators.Lattice2DGenerator.generateNetwork,66,45,15,,,,0.33,,
Method,edu.uci.ics.jung.algorithms.generators.Lattice2DGenerator.getIndex,3,3,0,,,,0,,
Private Method,edu.uci.ics.jung.algorithms.generators.Lattice2DGenerator.mod,4,4,0,,,,0,,
Public Class,edu.uci.ics.jung.algorithms.generators.TestLattice2D,137,123,0,7,7,0,0,71,1
Enum Type,edu.uci.ics.jung.algorithms.generators.TestLattice2D.EdgeType,4,4,0,2,2,0,0,100,1
Public Method,edu.uci.ics.jung.algorithms.generators.TestLattice2D.EdgeType.valueOf,0,0,0,,,,0,,
Public Method,edu.uci.ics.jung.algorithms.generators.TestLattice2D.EdgeType.values,0,0,0,,,,0,,
Public Constructor,edu.uci.ics.jung.algorithms.generators.TestLattice2D.TestLattice2D,4,4,0,,,,0,,
Enum Type,edu.uci.ics.jung.algorithms.generators.TestLattice2D.Topology,4,4,0,2,2,0,0,100,1
